budget,genres,homepage,popularity,production_companies,production_countries,runtime,spoken_languages,vote_average,vote_count,lang_english,year,holiday,revenue
2723903,4,0,5.565203,2,1,113,3,6.9,133,1,1951,0,4500000
2500000,3,0,10.879289,2,1,110,2,7.6,1082,1,1961,1,9500000
2479000,3,0,18.20822,2,1,128,1,8,1162,1,1958,1,28000000
1000000,3,0,17.911314,1,1,112,1,8.2,1531,1,1954,0,36764313
325000,2,0,6.465257,1,1,105,1,7.7,283,1,1934,0,4500000
4000000,2,0,12.410427,1,1,136,1,7.8,1062,1,1959,0,13275000
3000000,3,0,11.994281,2,1,125,1,8.1,498,1,1960,1,25000000
2883848,2,0,11.845107,2,1,122,1,8,835,1,1959,0,25000000
4000000,4,0,7.098731,1,1,113,4,7.7,351,1,1963,1,13474588
878000,2,0,13.916101,1,1,102,4,7.9,1462,1,1942,1,10462500
375000,3,0,5.782544,1,1,100,1,7.8,435,1,1941,1,1000000
17000000,4,0,12.494394,1,1,170,1,7.4,361,1,1964,1,72070731
2238813,3,0,7.359741,1,1,113,2,7.4,284,1,1954,0,10000000
1500000,2,0,11.954806,1,1,119,2,7.8,502,1,1953,0,12000000
2777000,3,1,22.064932,1,1,102,1,7.4,1689,1,1939,0,33754967
4000000,3,0,14.240357,2,1,238,1,7.7,995,1,1939,1,400176459
1752000,1,0,11.709777,1,1,110,1,8.2,533,1,1950,0,5000000
839727,2,0,15.811921,2,1,119,1,8,1244,1,1941,1,23217674
10500000,3,0,22.494622,2,2,149,2,7.9,3075,1,1968,1,68700000
1400000,1,0,12.06308,1,1,138,2,8,367,1,1950,1,63463
1688000,2,0,5.076649,1,1,133,2,6.4,26,1,1939,0,2270000
1288000,2,0,8.590813,1,1,130,2,7.7,346,1,1940,1,6000000
2000000,3,0,10.135111,1,1,102,1,7.8,345,1,1946,0,24464742
1500000,3,0,5.47596,1,1,111,1,7.3,166,1,1945,1,7000000
2500000,5,0,5.490505,1,1,106,2,7.1,299,1,1955,0,8750000
1365000,2,0,5.120036,1,1,110,1,7.3,77,1,1939,1,2279000
2033000,3,0,10.685036,1,1,102,1,7.6,170,1,1938,1,3981000
1020000,2,0,9.884516,1,1,88,1,7.6,173,1,1944,1,2000000
609000,3,0,7.122093,1,1,101,2,7.4,62,1,1935,0,3202000
5400000,3,0,10.864284,1,1,201,2,7.5,169,1,1956,1,35000000
1,1,0,6.42883,1,1,115,1,7.5,163,1,1955,0,5
226408,3,0,10.573867,1,1,93,1,7.4,97,1,1934,1,1423000
6000000,5,0,6.164226,1,1,167,3,6.5,85,1,1956,1,42000000
3180000,3,0,15.031588,2,1,130,1,8,1103,1,1946,1,9644124
1500000,2,0,8.168694,1,1,129,1,7.9,245,1,1939,1,9600000
114000,1,0,14.384198,4,1,96,1,7.5,591,1,1968,1,30000000
1300000,3,0,6.636872,3,2,105,3,7.4,232,1,1951,1,10750000
3000000,2,0,11.794846,2,1,108,1,7.6,168,1,1958,0,17570324
4,3,0,1.914697,1,1,89,1,6.2,29,1,1932,1,25
25000000,3,0,7.370163,1,1,100,1,5.3,104,1,1996,0,51702483
28000000,2,0,6.728199,2,2,132,1,6.8,98,1,1996,1,16900000
67000000,4,0,11.845918,2,1,101,1,6.2,263,1,1996,0,47267001
9000000,3,1,6.85606,1,1,118,1,6.9,66,1,1996,1,41590886
2300000,3,0,2.781581,1,1,88,2,6.2,29,1,1996,0,49620
38000000,2,0,4.990506,3,1,118,1,5.7,80,1,1996,0,17380126
50000000,2,0,3.998494,3,1,113,2,5.9,62,1,1996,1,22540359
5000000,3,0,8.722406,1,1,127,1,6.9,160,1,1954,1,28200000
14000000,1,0,8.30721,1,1,98,4,6.8,510,1,1993,0,154864401
2900000,4,1,14.436858,2,1,74,1,6.8,1760,1,1950,0,263591415
3000000,2,0,10.636458,1,1,79,1,6.9,935,1,1963,1,22182353
48000000,1,0,10.639244,2,1,143,1,6.6,937,1,1991,1,390493908
6000000,3,0,15.11549,1,1,139,1,7.4,1217,1,1964,0,102272727
812000,2,0,14.655879,2,1,64,1,6.8,1206,1,1941,1,1600000
20000000,6,0,10.362012,1,1,117,1,6.8,260,1,1971,1,17900000
3000000,4,0,16.488937,2,1,75,1,7,1557,1,1951,0,572000000
12000000,4,1,10.197106,1,1,82,1,7,884,1,1981,0,29800000
8200000,4,0,9.06773,3,1,174,3,7.4,966,1,1965,0,286214286
28000000,2,0,16.640522,3,1,131,3,7.5,4005,1,1988,0,140767956
10000000,3,0,6.685948,2,3,108,1,5.4,198,1,1992,0,32101000
4500000,1,0,11.223572,4,2,142,1,7.1,127,1,1996,1,13417292
16000000,2,0,2.167132,1,1,125,2,5.3,21,1,1996,0,1985001
65000000,4,0,14.482345,3,1,120,1,6.4,323,1,1996,1,89456761
50000000,1,0,10.789928,2,2,109,1,6.4,238,1,1996,1,75000000
2400000,1,0,5.230661,2,1,120,1,7,11,1,1996,1,5731103
45000000,2,0,3.733574,2,1,103,2,4,12,1,1997,0,2154540
7000000,2,1,3.379677,3,1,123,2,6.6,38,1,1996,0,405000
14500000,2,1,11.774061,2,1,120,1,6.7,1406,1,1996,1,147298761
200000,2,0,6.578025,3,1,94,1,6.8,255,1,1996,1,4505922
44000000,3,0,9.198283,3,1,147,1,7.3,729,1,1996,1,165615285
3000000,2,0,12.416635,2,1,100,3,7.4,826,1,1971,1,4000000
2000000,3,0,6.048904,1,1,89,2,7,206,1,1973,1,18344729
2000000,1,0,4.331819,2,1,82,2,6.7,167,1,1971,1,11833696
7500000,2,0,11.400353,2,2,108,3,7.1,576,1,1988,0,62493712
4000000,1,0,10.714173,2,1,94,1,7.7,1230,1,1979,0,20045115
